id,Industry ENG,People,Proportion
1,"Agriculture, Forestry",51628,2.5%
2,Fishing,5507,0.3%
3,"Mining, Quarrying, and Gravel Extraction",451,0.0%
4,Construction,144981,7.1%
5,Manufacturing,552399,27.0%
6,"Electricity, Gas, Heat Supply, and Water Supply",724,0.0%
7,Information and Communications,85401,4.2%
8,Transportation and Postal Services,66581,3.2%
9,Wholesale and Retail Trade,263555,12.9%
10,Finance and Insurance,12188,0.6%
11,Real Estate and Rental and Leasing,19332,0.9%
12,"Scientific Research, Professional and Technical Services",71700,3.5%
13,Accommodation and Food Services,233911,11.4%
14,Personal and Amusement Services,25971,1.3%
15,Education and Learning Support Services,80033,3.9%
16,Healthcare and Welfare,90839,4.4%
17,Miscellaneous Services,6268,0.3%
18,Unclassified Industry,320755,15.7%
19,Public Administration (excluding those classified elsewhere),11053,0.5%
20,Industry Not Otherwise Classified,5398,0.3%
