ADM1_PCODE,ADM1_EN,Ratio
JP01, Hokkaido,1.40%
JP02, Aomori,0.20%
JP03, Iwate,0.30%
JP04, Miyagi,0.80%
JP05, Akita,0.10%
JP06, Yamagata,0.30%
JP07, Fukushima,0.60%
JP08, Ibaraki,2.50%
JP09, Tochigi,1.70%
JP10, Gunma,2.70%
JP11, Saitama,5.00%
JP12, Chiba,3.90%
JP13, Tokyo,28.10%
JP14, Kanagawa,5.80%
JP15, Niigata,0.60%
JP16, Toyama,0.70%
JP17, Ishikawa,0.60%
JP18, Fukui,0.60%
JP19, Yamanashi,0.50%
JP20, Nagano,1.20%
JP21, Gifu,2.00%
JP22, Shizuoka,3.90%
JP23, Aichi,10.30%
JP24, Mie,1.80%
JP25, Shiga,1.20%
JP26, Kyoto,1.20%
JP27, Osaka,6.50%
JP28, Hyōgo,2.60%
JP29, Nara,0.40%
JP30, Wakayama,0.20%
JP31, Tottori,0.20%
JP32, Shimane,0.30%
JP33, Okayama,1.20%
JP34, Hiroshima,2.10%
JP35, Yamaguchi,0.50%
JP36, Tokushima,0.30%
JP37, Kagawa,0.60%
JP38, Ehime,0.60%
JP39, Kōchi,0.20%
JP40, Fukuoka,3.10%
JP41, Saga,0.30%
JP42, Nagasaki,0.30%
JP43, Kumamoto,0.80%
JP44, Ōita,0.40%
JP45, Miyazaki,0.30%
JP46, Kagoshima,0.50%
JP47, Okinawa,0.60%
