ADM1_PCODE,ADM1_EN,Ratio
JP01, Hokkaido,2.1%
JP02, Aomori,0.3%
JP03, Iwate,0.4%
JP04, Miyagi,0.9%
JP05, Akita,0.2%
JP06, Yamagata,0.4%
JP07, Fukushima,0.7%
JP08, Ibaraki,2.6%
JP09, Tochigi,1.5%
JP10, Gunma,1.8%
JP11, Saitama,5.1%
JP12, Chiba,4.4%
JP13, Tokyo,25.7%
JP14, Kanagawa,6.5%
JP15, Niigata,0.8%
JP16, Toyama,0.8%
JP17, Ishikawa,0.7%
JP18, Fukui,0.5%
JP19, Yamanashi,0.6%
JP20, Nagano,1.5%
JP21, Gifu,1.7%
JP22, Shizuoka,3.1%
JP23, Aichi,7.9%
JP24, Mie,1.5%
JP25, Shiga,0.9%
JP26, Kyoto,1.6%
JP27, Osaka,7.6%
JP28, Hyōgo,3.1%
JP29, Nara,0.5%
JP30, Wakayama,0.3%
JP31, Tottori,0.2%
JP32, Shimane,0.3%
JP33, Okayama,1.1%
JP34, Hiroshima,2.0%
JP35, Yamaguchi,0.6%
JP36, Tokushima,0.4%
JP37, Kagawa,0.7%
JP38, Ehime,0.7%
JP39, Kōchi,0.3%
JP40, Fukuoka,3.7%
JP41, Saga,0.3%
JP42, Nagasaki,0.5%
JP43, Kumamoto,1.1%
JP44, Ōita,0.6%
JP45, Miyazaki,0.4%
JP46, Kagoshima,0.7%
JP47, Okinawa,0.9%
